name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
advotogo-n_100,26,31,26,2,2,2,0,true,41
advotogo-n_1000,624,1883,612,120,127,127,6,true,124
advotogo-n_1500,1110,4342,1072,196,215,215,14,true,23
advotogo-n_200,63,68,60,7,9,9,1,true,3
advotogo-n_2000,1556,6786,1526,279,297,297,14,true,20
advotogo-n_3000,2657,16140,2556,495,548,548,38,true,53
advotogo-n_4000,3775,29831,3090,554,863,863,307,true,2376
advotogo-n_50,0,0,0,0,0,0,0,true,0
advotogo-n_500,247,446,244,37,39,39,1,true,2
advotogo-n_5000,4962,43776,3953,699,1160,1160,548,true,13454
advotogo-n_5159,5155,47135,4141,742,1208,1208,557,true,15932
bitcoinalpha-n_100,5,7,5,2,2,2,0,true,1
bitcoinalpha-n_1000,545,1878,542,134,136,136,1,true,2
bitcoinalpha-n_1500,957,3890,954,259,261,261,1,true,2
bitcoinalpha-n_200,50,78,50,11,11,11,0,true,0
bitcoinalpha-n_2000,1450,6295,1438,386,393,393,8,true,5
bitcoinalpha-n_3000,2659,15429,2638,646,658,658,9,true,7
bitcoinalpha-n_3785,3783,24186,3744,901,921,921,21,true,11
bitcoinalpha-n_50,5,5,5,2,2,2,0,true,0
bitcoinalpha-n_500,202,465,197,51,54,54,4,true,2
blogs-n_100,67,170,67,8,8,8,0,true,0
blogs-n_1000,977,12749,646,66,196,196,242,true,448
blogs-n_1227,1224,19022,778,87,262,262,353,true,1346
blogs-n_200,138,426,138,16,16,16,0,true,0
blogs-n_50,34,88,34,6,6,6,0,true,0
blogs-n_500,430,2918,378,49,76,76,36,true,11
chess-n_100,13,7,13,0,0,0,0,true,0
chess-n_1000,613,1295,523,27,62,62,44,true,18
chess-n_1500,1075,2561,859,45,127,127,149,true,232
chess-n_200,58,47,58,2,2,2,0,true,0
chess-n_2000,1531,4343,1131,61,204,204,631,true,5265
chess-n_3000,2586,11156,1616,65,-1,0,2942,false,90000
chess-n_4000,3620,17404,2029,82,-1,0,1626,false,90000
chess-n_50,3,2,3,0,0,0,0,true,0
chess-n_500,241,319,241,17,17,17,0,true,0
chess-n_5000,4752,27339,2327,78,-1,0,1199,false,90000
chess-n_6000,5854,40749,2659,81,-1,0,967,false,90000
