name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
advotogo-n_100,26,31,2,2,2,true,26,0,0,36,0
advotogo-n_1000,624,1883,127,127,120,true,612,0,6,17,6
advotogo-n_1500,1110,4342,215,215,196,true,1072,0,11,11,2
advotogo-n_200,63,68,9,9,7,true,60,0,2,1,0
advotogo-n_2000,1556,6786,297,297,279,true,1526,0,18,15,3
advotogo-n_3000,2657,16140,548,548,495,true,2556,0,35,38,11
advotogo-n_4000,3775,29831,863,847,554,false,3090,0,101643,180001,41447
advotogo-n_50,0,0,0,0,0,true,0,0,0,0,0
advotogo-n_500,247,446,39,39,37,true,244,0,2,2,0
advotogo-n_5000,4962,43776,1160,1134,699,false,3953,0,24560,180008,13103
advotogo-n_5159,5155,47135,1208,1179,742,false,4141,0,25619,180004,14195
bitcoinalpha-n_100,5,7,2,2,2,true,5,0,0,0,0
bitcoinalpha-n_1000,545,1878,136,136,134,true,542,0,2,1,0
bitcoinalpha-n_1500,957,3890,261,261,259,true,954,0,2,1,0
bitcoinalpha-n_200,50,78,11,11,11,true,50,0,0,0,0
bitcoinalpha-n_2000,1450,6295,393,393,386,true,1438,0,8,3,0
bitcoinalpha-n_3000,2659,15429,658,658,646,true,2638,0,13,4,0
bitcoinalpha-n_3785,3783,24186,921,921,901,true,3744,0,12,7,1
bitcoinalpha-n_50,5,5,2,2,2,true,5,0,0,0,0
bitcoinalpha-n_500,202,465,54,54,51,true,197,0,3,1,0
blogs-n_100,67,170,8,8,8,true,67,0,0,0,0
blogs-n_1000,977,12749,196,196,66,true,646,0,618,1047,259
blogs-n_1227,1224,19022,262,262,87,true,778,0,5289,6312,3415
blogs-n_200,138,426,16,16,16,true,138,0,0,0,0
blogs-n_50,34,88,6,6,6,true,34,0,0,0,0
blogs-n_500,430,2918,76,76,49,true,378,0,75,7,2
chess-n_100,13,7,0,0,0,true,13,0,0,0,0
chess-n_1000,613,1295,62,62,27,true,523,0,150,20,10
chess-n_1500,1075,2561,127,125,45,false,859,0,739606,180000,133659
chess-n_200,58,47,2,2,2,true,58,0,0,0,0
chess-n_2000,1531,4343,204,193,61,false,1131,0,230439,180000,62799
chess-n_3000,2586,11156,-1,360,65,false,1616,0,28890,180000,26182
chess-n_4000,3620,17404,-1,541,82,false,2029,0,10437,180012,17560
chess-n_50,3,2,0,0,0,true,3,0,0,0,0
chess-n_500,241,319,17,17,17,true,241,0,0,0,0
chess-n_5000,4752,27339,-1,761,78,false,2327,0,3629,180035,13622
chess-n_6000,5854,40749,-1,974,81,false,2659,0,1766,180045,14730
chess-n_7000,6966,55133,-1,1208,91,false,2913,0,965,180105,18647
chess-n_7303,7301,60046,-1,1286,85,false,2958,0,845,180102,14239
ChicagoRegional-n_100,2,2,1,1,1,true,2,0,0,0,0
ChicagoRegional-n_1000,224,245,92,92,92,true,224,0,0,0,0
ChicagoRegional-n_10000,9579,23005,4193,4193,3551,true,8375,0,596,68,23
ChicagoRegional-n_1500,457,485,181,181,179,true,454,0,2,0,0
ChicagoRegional-n_200,13,12,5,5,5,true,13,0,0,0,0
ChicagoRegional-n_2000,777,888,307,307,301,true,767,0,6,1,0
ChicagoRegional-n_3000,1619,2022,631,631,617,true,1596,0,14,2,1
ChicagoRegional-n_4000,2607,3623,1020,1020,1004,true,2581,0,16,3,1
ChicagoRegional-n_50,4,4,2,2,2,true,4,0,0,0,0
ChicagoRegional-n_500,52,50,24,24,24,true,52,0,0,0,0
ChicagoRegional-n_5000,3710,5774,1484,1484,1438,true,3627,0,43,7,2
ChicagoRegional-n_6000,4927,8488,1987,1987,1865,true,4703,0,103,16,6
ChicagoRegional-n_7000,6106,11328,2495,2495,2347,true,5842,0,120,18,7
ChicagoRegional-n_8000,7282,14765,3028,3028,2772,true,6804,0,184,26,10
ChicagoRegional-n_9000,8479,19095,3651,3651,3198,true,7628,0,299,39,14
health-n_100,23,18,4,4,4,true,23,0,0,0,0
health-n_1000,934,2008,231,231,211,true,904,0,20,3,1
health-n_1500,1451,4642,446,446,341,true,1261,0,642,112,35
health-n_200,94,87,17,17,17,true,94,0,0,0,0
health-n_2000,1973,7956,674,654,297,false,1172,0,30544,180003,7926
health-n_2542,2539,12969,960,893,235,false,1031,0,5838,180012,2884
health-n_50,10,7,2,2,2,true,10,0,0,0,0
health-n_500,388,490,67,67,65,true,384,0,2,0,0
link-kv-n_100,18,22,8,8,4,true,12,0,4,0,0
link-kv-n_1000,644,4081,234,234,63,true,440,0,197279,15526,2718
link-kv-n_1500,1054,8494,391,312,101,false,705,0,911855,180000,28459
link-kv-n_200,90,139,20,20,10,true,76,0,10,2,0
link-kv-n_2000,1772,19901,565,485,112,false,1210,0,355593,180000,21161
link-kv-n_3000,2540,39796,900,719,174,false,1620,0,12073,180011,4175
link-kv-n_4000,3777,69389,-1,1129,200,false,2389,0,1324,180068,12894
link-kv-n_50,6,3,0,0,0,true,6,0,0,0,0
link-kv-n_500,270,1056,83,83,23,true,196,0,59,5,2
link-kv-n_5000,4840,117893,-1,1405,261,false,2975,0,637,180131,14080
link-kv-n_6000,5911,162803,-1,1809,304,false,3599,0,222,180019,5864
link-kv-n_6916,6914,211650,-1,2156,352,false,4186,0,69,180533,5532
openflights-n_100,25,48,10,10,10,true,25,0,0,0,0
openflights-n_1000,625,2842,201,201,190,true,602,0,8,2,0
openflights-n_1500,1199,7492,413,413,364,true,1111,0,37,7,2
openflights-n_200,64,106,26,26,22,true,57,0,4,0,0
openflights-n_2000,1794,13285,593,593,535,true,1691,0,42,8,2
openflights-n_2942,2939,30501,998,998,858,true,2676,0,77,15,4
openflights-n_50,4,4,2,2,2,true,4,0,0,0,0
openflights-n_500,226,770,80,80,69,true,207,0,7,1,0
out.cfinder-google-n_100,8,7,6,6,6,true,8,0,0,0,0
out.cfinder-google-n_1000,413,576,100,100,94,true,404,0,6,0,0
out.cfinder-google-n_10000,9678,70276,3133,3133,1603,true,7514,0,1458,231,68
out.cfinder-google-n_1500,723,1120,188,188,157,true,678,0,31,4,1
out.cfinder-google-n_200,32,27,13,13,13,true,32,0,0,0,0
out.cfinder-google-n_2000,1384,3224,307,307,244,true,1294,0,63,8,3
out.cfinder-google-n_3000,2127,5857,574,574,400,true,1880,0,172,21,9
out.cfinder-google-n_4000,3184,11463,852,852,555,true,2768,0,297,38,16
out.cfinder-google-n_50,8,8,7,7,7,true,8,0,0,0,0
out.cfinder-google-n_500,119,142,37,37,35,true,116,0,2,0,0
out.cfinder-google-n_5000,4366,19192,1200,1200,740,true,3722,0,455,59,25
